2023-11-06 09:38:49,539 INFO    MainThread:1055187 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_setup.py:_flush():76] Configure stats pid to 1055187
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_setup.py:_flush():76] Loading settings from /root/subnets/exploitproof-net/wandb/settings
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'bittensor-subnet-template/neurons/validator.py', 'program_abspath': '/root/subnets/exploitproof-net/bittensor-subnet-template/neurons/validator.py', 'program': '/root/subnets/exploitproof-net/bittensor-subnet-template/neurons/validator.py'}
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_init.py:_log_setup():528] Logging user logs to /root/subnets/exploitproof-net/wandb/run-20231106_093849-gl85xl2n/logs/debug.log
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_init.py:_log_setup():529] Logging internal logs to /root/subnets/exploitproof-net/wandb/run-20231106_093849-gl85xl2n/logs/debug-internal.log
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_init.py:init():568] calling init triggers
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_init.py:init():618] starting backend
2023-11-06 09:38:49,540 INFO    MainThread:1055187 [wandb_init.py:init():622] setting up manager
2023-11-06 09:38:49,544 INFO    MainThread:1055187 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-06 09:38:49,545 INFO    MainThread:1055187 [wandb_init.py:init():628] backend started and connected
2023-11-06 09:38:49,552 INFO    MainThread:1055187 [wandb_init.py:init():720] updated telemetry
2023-11-06 09:38:49,557 INFO    MainThread:1055187 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-06 09:38:50,076 INFO    MainThread:1055187 [wandb_run.py:_on_init():2220] communicating current version
2023-11-06 09:38:50,215 INFO    MainThread:1055187 [wandb_run.py:_on_init():2229] got version response 
2023-11-06 09:38:50,215 INFO    MainThread:1055187 [wandb_init.py:init():804] starting run threads in backend
2023-11-06 09:38:50,254 INFO    MainThread:1055187 [wandb_run.py:_console_start():2199] atexit reg
2023-11-06 09:38:50,254 INFO    MainThread:1055187 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-06 09:38:50,254 INFO    MainThread:1055187 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-06 09:38:50,254 INFO    MainThread:1055187 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-06 09:38:50,255 INFO    MainThread:1055187 [wandb_init.py:init():845] run started, returning control to user process
2023-11-06 09:39:20,470 WARNING MsgRouterThr:1055187 [router.py:message_loop():77] message_loop has been closed
